date,shareprice
01-Oct-1986,1.57140530642785
01-Nov-1986,1.56750941322322
01-Dec-1986,1.56272964196805
01-Jan-1987,1.54693893702233
01-Feb-1987,1.52594179576316
01-Mar-1987,1.51006379712438
01-Apr-1987,1.50264660840903
01-May-1987,1.51224560395807
01-Jun-1987,1.50739089512611
01-Jul-1987,1.50053026224372
01-Aug-1987,1.49774081233841
01-Sep-1987,1.48756400984144
01-Oct-1987,1.48175027382087
01-Nov-1987,1.48258128420708
01-Dec-1987,1.47341615953834
01-Jan-1988,1.45726324803244
01-Feb-1988,1.44142215744628
01-Mar-1988,1.4222926029899
01-Apr-1988,1.40676835305344
01-May-1988,1.40143831309664
01-Jun-1988,1.38200226591458
01-Jul-1988,1.37231592940528
01-Aug-1988,1.37676525251948
01-Sep-1988,1.37495249045795
01-Oct-1988,1.36045328805225
01-Nov-1988,1.36804600462371
01-Dec-1988,1.34702185825643
01-Jan-1989,1.34483416652232
01-Feb-1989,1.33592682276419
01-Mar-1989,1.33863083496037
01-Apr-1989,1.33028875971764
01-May-1989,1.33268893695745
01-Jun-1989,1.33337441341782
01-Jul-1989,1.32645399981911
01-Aug-1989,1.31625149390024
01-Sep-1989,1.31804526008332
01-Oct-1989,1.30839943272677
01-Nov-1989,1.30425437455696
01-Dec-1989,1.29442124407908
01-Jan-1990,1.29960800850444
01-Feb-1990,1.31271162244735
01-Mar-1990,1.30164709285841
01-Apr-1990,1.29337625856606
01-May-1990,1.29641116020201
01-Jun-1990,1.29169619329534
01-Jul-1990,1.28030740765414
01-Aug-1990,1.2692522432536
01-Sep-1990,1.27422741091872
01-Oct-1990,1.27100542170324
01-Nov-1990,1.27383087268974
01-Dec-1990,1.26952126988253
01-Jan-1991,1.26631144143356
01-Feb-1991,1.2631252989349
01-Mar-1991,1.26264901308579
01-Apr-1991,1.25804085182306
01-May-1991,1.25423252447078
01-Jun-1991,1.24757113018673
01-Jul-1991,1.24913002133836
01-Aug-1991,1.24309360625443
01-Sep-1991,1.23671021207528
01-Oct-1991,1.22747246619747
01-Nov-1991,1.22600638543184
01-Dec-1991,1.23366045239913
01-Jan-1992,1.23938965768434
01-Feb-1992,1.25835680810735
01-Mar-1992,1.26622242342719
01-Apr-1992,1.26700253350713
01-May-1992,1.27639130813712
01-Jun-1992,1.27337530221479
01-Jul-1992,1.27251181092297
01-Aug-1992,1.26931513657221
01-Sep-1992,1.2901469784994
01-Oct-1992,1.30404332844848
01-Nov-1992,1.32465511415777
01-Dec-1992,1.3312140284913
01-Jan-1993,1.34007025997862
01-Feb-1993,1.32851037970766
01-Mar-1993,1.32081251533
01-Apr-1993,1.32669392760244
01-May-1993,1.32866826596361
01-Jun-1993,1.33567274620774
01-Jul-1993,1.33724947900102
01-Aug-1993,1.35644624388978
01-Sep-1993,1.36519882361487
01-Oct-1993,1.37317829083361
01-Nov-1993,1.36844915962029
01-Dec-1993,1.37902335237583
01-Jan-1994,1.36698634391876
01-Feb-1994,1.38663735301918
01-Mar-1994,1.39728814489205
01-Apr-1994,1.41500647067953
01-May-1994,1.41554874645459
01-Jun-1994,1.42166148686973
01-Jul-1994,1.41992346857556
